stock,entry_date,exit_date,branch,z,spy_z,ret,ret_net,bench_ret,excess_ret
KO,2023-03-01,2023-03-08,market_wide,-4.485299402533549,-2.8261252084622543,0.02004764713699969,0.01904764713699969,0.007543328083812639,0.011504319053187051
KO,2023-03-09,2023-03-16,market_wide,-2.1375679490244286,-3.959729234856619,0.02190612568425765,0.020906125684257648,-0.001701875909790762,0.02260800159404841
KO,2023-05-03,2023-05-10,market_wide,-2.809442123852215,-2.1130893781159243,-0.0023565717156849297,-0.0033565717156849298,-0.006028162355301903,0.002671590639616973
KO,2023-05-16,2023-05-23,market_wide,-3.7322874760804043,-1.0859500599288894,-0.028788466895905307,-0.029788466895905308,0.006444282260305911,-0.03623274915621122
KO,2023-05-24,2023-06-01,market_wide,-3.4227393860985207,-2.4991221545224267,-0.0144544825879096,-0.015454482587909601,0.013287143528734058,-0.02874162611664366
KO,2023-06-05,2023-06-12,idiosyncratic,-2.134838874745103,-0.17634505906529965,-0.008889027936378802,-0.009889027936378803,0.014050695556297343,-0.023939723492676146
KO,2023-06-28,2023-07-06,market_wide,-2.398738643570006,-1.650523206070352,0.0006607449421325295,-0.0003392550578674705,-0.007533724887268889,0.007194469829401418
KO,2023-07-07,2023-07-14,market_wide,-3.818169703146451,-1.2262681408934235,0.019076404376481504,0.018076404376481503,0.03355804535030349,-0.015481640973821986
KO,2023-08-02,2023-08-09,market_wide,-2.6510355312499208,-3.7911654185072816,-0.014525509363278677,-0.015525509363278678,-0.019635203578654226,0.004109694215375548
KO,2023-08-10,2023-08-17,market_wide,-2.5151988239080723,-2.7586605690552566,-0.00508852786215841,-0.00608852786215841,-0.018344004342119136,0.012255476479960725
KO,2023-08-21,2023-08-28,market_wide,-2.8968944304260726,-2.2499215698360064,0.0021511744373361452,0.0011511744373361452,0.005977054473693455,-0.00482588003635731
KO,2023-08-31,2023-09-08,idiosyncratic,-4.365288721600385,-0.1266662251666614,-0.025070912219755104,-0.026070912219755105,-0.00561797022292454,-0.020452941996830565
KO,2023-09-12,2023-09-19,market_wide,-2.531888248681872,-1.8087429438330576,0.00585924412342842,0.00485924412342842,-0.003000704000930776,0.007859948124359195
KO,2023-09-21,2023-09-28,market_wide,-3.578483158475263,-6.5435112270213045,-0.030066089587046818,-0.03106608958704682,-0.014293709217922945,-0.016772380369123874
KO,2023-09-29,2023-10-06,market_wide,-2.5542189078416517,-2.261327578164911,-0.05073249607609964,-0.05173249607609964,-0.010137949179121586,-0.04159454689697806
KO,2023-10-09,2023-10-16,idiosyncratic,-2.8392695902441702,0.020228455672482725,0.010400874134590898,0.009400874134590897,0.0054039075946576975,0.0039969665399332
